stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
10445,09AE,4 Pavés,,50.418337,3.105805,1,,0
20885,09AE1,4 Pavés,,50.418382,3.105656,0,10445,0
10446,09AF,Barrière du Marais,,50.410805,3.110264,1,,0
20887,09AF1,Barrière du Marais,,50.410832,3.110249,0,10446,0
10447,09AG,Belleforière,,50.405044,3.106802,1,,0
20889,09AG1,Belleforière,,50.405202,3.106803,0,10447,0
10448,09AH,Escarpelle,,50.400863,3.104807,1,,0
20891,09AH1,Escarpelle,,50.400962,3.104751,0,10448,0
10423,11AL,Château Pasquier,,50.399584,3.099193,1,,0
20841,11AL1,Château Pasquier,,50.399646,3.099706,0,10423,0
10424,11AM,Briquette,,50.399525,3.093991,1,,0
20843,11AM1,Briquette,,50.399580,3.093922,0,10424,0
10425,11AN,Place de Pont,,50.398844,3.086653,1,,0
20845,11AN1,Place de Pont,,50.398797,3.086643,0,10425,0
10407,11AJ,Troyon,,50.398353,3.082226,1,,0
20809,11AJ1,Troyon,,50.398310,3.082268,0,10407,0
10408,11AK,Escrebieux,,50.395986,3.080102,1,,0
20811,11AK1,Escrebieux,,50.395979,3.080003,0,10408,0
10409,01AW,08-mai,,50.394306,3.080539,1,,0
20813,01AW1,08-mai,,50.394319,3.080680,0,10409,0
10410,01AX,Passerelle,,50.393759,3.085848,1,,0
20815,01AX1,Passerelle,,50.393911,3.085738,0,10410,0
10411,01AY,Place du 14 Juillet,,50.392400,3.084791,1,,0
20817,01AY1,Place du 14 Juillet,,50.392422,3.084679,0,10411,0
10412,01AZ,Jaurès - DOUAI,,50.391044,3.082017,1,,0
20819,01AZ1,Jaurès - DOUAI,,50.390964,3.081601,0,10412,0
10415,01BC,Canivez,,50.387340,3.074196,1,,0
20825,01BC1,Canivez,,50.387288,3.074280,0,10415,0
10414,01BB,Alsace Lorraine - DOUAI,,50.386481,3.078499,1,,0
20823,01BB1,Alsace Lorraine - DOUAI,,50.386499,3.078638,0,10414,0
10413,01BA,Polygone,,50.385410,3.078700,1,,0
20821,01BA1,Polygone,,50.385522,3.078630,0,10413,0
10875,01DJ,Ecole d'Artillerie,,50.381461,3.077886,1,,0
